Age,NumberOfPersonVisiting,PreferredPropertyStar,NumberOfTrips,NumberOfChildrenVisiting,MonthlyIncome,PitchSatisfactionScore,NumberOfFollowups,DurationOfPitch,TypeofContact,CityTier,Occupation,Gender,MaritalStatus,Passport,OwnCar,Designation,ProdTaken
36,2,5,2,0,17743,2,1,22,Self Enquiry,1,Salaried,Female,Single,0,1,Executive,1
27,4,4,2,2,20826,3,4,27,Self Enquiry,2,Small Business,Female,Married,1,0,Executive,1
31,3,3,3,0,23161,5,3,22,Self Enquiry,3,Small Business,Male,Married,0,1,Senior Manager,1
36,4,3,3,3,23537,4,4,7,Self Enquiry,3,Small Business,Fe Male,Unmarried,0,0,Manager,0
36,3,3,2,2,23395,3,4,7,Self Enquiry,3,Small Business,Male,Married,0,0,Manager,0
53,3,3,7,1,29275,5,3,29,Self Enquiry,1,Salaried,Female,Single,0,1,AVP,0
34,2,4,2,1,22980,4,4,14,Company Invited,3,Salaried,Female,Married,0,0,Manager,0
55,2,3,7,1,28695,3,1,19,Self Enquiry,3,Small Business,Male,Single,1,1,AVP,1
46,3,4,3,2,23125,4,4,11,Company Invited,1,Salaried,Male,Divorced,0,1,Manager,0
35,3,3,3,2,21607,4,5,26,Self Enquiry,1,Salaried,Female,Married,0,1,Executive,0
38,3,4,4,2,22749,3,4,15,Self Enquiry,2,Salaried,Male,Married,0,1,Manager,0
32,2,3,2,1,20396,4,3,16,Self Enquiry,3,Small Business,Male,Single,0,0,Manager,0
45,2,4,1,0,17348,4,3,15,Self Enquiry,1,Salaried,Male,Married,0,1,Manager,0
27,3,5,3,1,23419,3,4,18,Company Invited,1,Small Business,Male,Married,1,1,Manager,0
24,3,3,3,1,20953,1,4,14,Self Enquiry,3,Salaried,Male,Married,1,1,Executive,1
25,3,3,3,1,22840,5,4,11,Self Enquiry,3,Small Business,Female,Divorced,1,1,Manager,0
49,3,3,3,0,21651,3,3,11,Self Enquiry,1,Large Business,Male,Divorced,0,0,Manager,0
45,3,5,2,0,20210,1,3,13,Company Invited,1,Salaried,Male,Married,0,1,Senior Manager,0
38,2,3,1,1,20745,3,3,29,Self Enquiry,1,Salaried,Male,Married,0,0,Manager,0
31,3,3,5,1,21172,3,5,12,Self Enquiry,3,Salaried,Male,Divorced,1,1,Manager,1
23,4,3,7,1,22572,5,5,11,Company Invited,1,Large Business,Male,Unmarried,0,0,Executive,1
41,2,3,5,1,17451,4,3,20,Self Enquiry,1,Salaried,Male,Married,0,1,Executive,0
39,4,4,2,3,21577,4,5,16,Self Enquiry,3,Small Business,Male,Married,0,0,Executive,0
48,4,4,2,3,24145,3,4,21,Company Invited,1,Large Business,Male,Married,0,0,Manager,0
27,3,3,3,1,21564,3,4,30,Self Enquiry,1,Salaried,Female,Married,0,0,Executive,0
25,2,4,5,0,17187,4,3,8,Self Enquiry,2,Salaried,Female,Married,0,0,Executive,0
33,4,4,3,1,24898,3,4,7,Self Enquiry,1,Salaried,Male,Married,0,1,Manager,0
43,4,5,5,3,21254,3,4,7,Self Enquiry,1,Salaried,Female,Married,0,0,Executive,0
40,2,5,4,1,25932,5,5,34,Company Invited,3,Salaried,Male,Married,0,0,Senior Manager,0
60,3,3,2,1,24151,5,5,7,Company Invited,3,Salaried,Fe Male,Unmarried,0,1,Manager,0
44,3,3,4,1,22978,3,3,7,Company Invited,3,Large Business,Male,Married,0,1,Executive,1
39,3,3,1,2,25938,1,3,8,Company Invited,1,Large Business,Fe Male,Unmarried,0,1,Senior Manager,0
38,4,3,5,3,23358,4,2,17,Self Enquiry,1,Salaried,Male,Unmarried,0,1,Executive,0
37,4,3,3,2,20831,3,4,25,Company Invited,1,Small Business,Female,Single,0,0,Executive,0
32,3,3,2,1,21745,4,4,9,Self Enquiry,3,Salaried,Male,Married,0,1,Executive,0
29,3,5,2,0,17109,4,4,10,Self Enquiry,1,Large Business,Female,Married,0,0,Executive,0
47,3,3,5,2,21397,4,1,33,Company Invited,3,Salaried,Female,Unmarried,1,1,Manager,1
42,4,3,5,1,21460,1,4,7,Self Enquiry,1,Salaried,Male,Married,0,0,Executive,0
43,4,5,7,1,24216,4,2,20,Self Enquiry,1,Small Business,Male,Married,0,1,Manager,0
32,4,3,3,1,24146,3,5,36,Self Enquiry,3,Small Business,Female,Married,0,1,Manager,0
36,3,3,3,1,22085,5,2,35,Self Enquiry,1,Salaried,Male,Married,0,1,Manager,0
26,3,4,2,0,21272,3,3,34,Self Enquiry,3,Small Business,Male,Divorced,0,1,Manager,0
50,3,4,6,2,26081,4,4,15,Self Enquiry,1,Salaried,Female,Married,0,0,Senior Manager,0
28,3,4,3,1,21541,1,5,29,Company Invited,2,Salaried,Female,Married,0,1,Executive,1
42,3,5,4,1,23399,4,4,13,Self Enquiry,1,Small Business,Male,Unmarried,1,1,Executive,0
19,2,3,2,0,17564,3,4,8,Self Enquiry,2,Large Business,Male,Single,0,0,Executive,1
40,3,3,3,2,22433,1,4,15,Company Invited,1,Salaried,Female,Married,0,1,Executive,0
41,2,4,4,0,21870,5,1,11,Self Enquiry,1,Salaried,Male,Unmarried,0,1,Manager,0
30,4,4,2,1,21381,4,4,9,Self Enquiry,1,Salaried,Male,Married,0,1,Executive,0
28,4,3,3,2,21212,3,5,31,Company Invited,1,Salaried,Male,Single,1,1,Executive,1
27,2,3,2,1,17539,2,4,12,Self Enquiry,1,Salaried,Male,Divorced,0,1,Executive,0
42,2,5,1,1,28758,5,3,18,Company Invited,3,Salaried,Male,Single,1,1,AVP,1
38,3,3,1,0,17684,5,3,16,Company Invited,1,Small Business,Male,Married,0,0,Executive,0
46,3,4,3,1,23125,4,4,11,Company Invited,1,Salaried,Male,Married,0,1,Manager,0
31,4,3,3,2,21371,2,4,31,Self Enquiry,1,Salaried,Male,Married,0,0,Executive,0
48,3,5,4,2,23638,1,4,21,Self Enquiry,3,Small Business,Male,Unmarried,0,1,Manager,0
32,4,3,5,1,28502,3,4,27,Company Invited,1,Salaried,Male,Married,0,1,Senior Manager,1
37,4,4,2,2,24592,1,4,12,Self Enquiry,1,Salaried,Male,Unmarried,0,1,Manager,0
30,4,4,7,3,21224,3,5,32,Self Enquiry,1,Large Business,Female,Divorced,0,0,Executive,1
29,4,4,2,3,21879,2,5,9,Self Enquiry,1,Salaried,Male,Divorced,0,0,Executive,0
35,3,4,2,2,23606,1,4,22,Self Enquiry,1,Salaried,Fe Male,Unmarried,0,1,Senior Manager,0
49,2,4,5,0,22403,4,3,14,Self Enquiry,1,Salaried,Female,Divorced,0,0,Senior Manager,0
24,2,3,1,0,17774,4,3,24,Self Enquiry,1,Salaried,Male,Divorced,0,1,Executive,0
49,3,3,4,1,35563,2,2,7,Company Invited,1,Small Business,Male,Single,0,0,AVP,0
42,3,3,3,2,22054,3,2,14,Self Enquiry,1,Large Business,Female,Divorced,0,1,Executive,0
31,2,3,4,1,20915,3,3,13,Self Enquiry,1,Salaried,Male,Married,0,0,Manager,0
40,3,4,4,1,20677,3,3,8,Self Enquiry,3,Small Business,Female,Married,0,1,Manager,0
35,3,3,2,2,27178,5,4,16,Self Enquiry,1,Salaried,Male,Married,0,1,Senior Manager,0
39,3,4,2,1,26029,4,4,9,Self Enquiry,3,Small Business,Male,Unmarried,0,1,Senior Manager,0
25,3,3,2,2,21078,4,4,31,Company Invited,3,Small Business,Male,Divorced,0,0,Executive,0
36,3,3,3,2,20947,5,3,15,Self Enquiry,1,Salaried,Male,Divorced,0,1,Executive,0
27,3,3,3,1,23974,5,4,7,Self Enquiry,3,Salaried,Male,Divorced,0,1,Manager,0
27,3,3,3,2,24150,3,2,9,Self Enquiry,1,Small Business,Male,Divorced,0,1,Manager,0
38,3,5,5,2,21893,3,3,15,Company Invited,1,Salaried,Male,Married,0,0,Manager,1
29,2,5,4,0,17062,4,3,13,Self Enquiry,1,Salaried,Male,Single,0,0,Executive,0
31,3,5,2,2,28635,4,4,27,Self Enquiry,1,Salaried,Male,Married,0,0,Manager,0
50,4,3,3,2,25482,2,4,25,Company Invited,1,Salaried,Male,Married,1,0,Manager,0
35,2,5,2,1,20208,3,1,24,Self Enquiry,1,Salaried,Male,Married,0,0,Manager,0
55,3,3,3,0,31659,5,3,8,Self Enquiry,1,Salaried,Female,Single,1,0,AVP,0
35,2,3,2,1,25388,3,3,31,Self Enquiry,1,Small Business,Female,Married,1,0,Senior Manager,0
31,2,4,2,1,17789,3,3,11,Company Invited,3,Small Business,Female,Married,0,0,Executive,0
35,3,3,2,2,17572,3,3,14,Self Enquiry,3,Salaried,Female,Married,0,1,Executive,0
58,3,4,5,1,25008,3,3,27,Self Enquiry,1,Small Business,Female,Married,0,1,Manager,1
32,3,5,2,1,17439,1,3,8,Self Enquiry,1,Large Business,Male,Single,0,1,Executive,0
45,4,3,4,1,20968,4,6,24,Company Invited,1,Salaried,Male,Single,0,1,Executive,0
31,4,5,2,1,23457,3,4,14,Self Enquiry,3,Small Business,Female,Married,0,1,Manager,0
29,2,3,2,1,22639,3,3,33,Self Enquiry,3,Small Business,Female,Divorced,0,1,Senior Manager,1
34,4,5,3,3,22026,5,4,10,Company Invited,1,Salaried,Male,Unmarried,1,1,Executive,1
36,4,3,3,1,27467,5,4,7,Company Invited,3,Small Business,Fe Male,Unmarried,0,1,Senior Manager,0
58,2,3,3,1,20660,2,5,6,Company Invited,1,Salaried,Male,Married,1,1,Manager,0
55,2,4,2,1,34187,1,5,15,Self Enquiry,3,Small Business,Female,Single,0,1,Executive,1
29,4,3,3,2,21988,4,4,15,Self Enquiry,1,Salaried,Female,Unmarried,0,0,Executive,0
40,3,3,5,2,24798,1,5,28,Self Enquiry,3,Salaried,Male,Divorced,1,0,Manager,0
36,4,5,2,1,20822,3,4,25,Self Enquiry,3,Small Business,Male,Married,0,0,Manager,0
44,3,3,3,0,17818,3,1,14,Self Enquiry,1,Salaried,Male,Married,1,1,Executive,0
49,3,5,5,1,17587,1,3,22,Self Enquiry,1,Small Business,Female,Married,1,1,Executive,0
31,3,5,7,2,25374,2,5,33,Company Invited,3,Small Business,Fe Male,Unmarried,0,0,Manager,1
36,3,3,5,1,24594,4,5,30,Self Enquiry,1,Salaried,Male,Married,1,1,Manager,1
33,3,3,5,2,21110,1,2,12,Company Invited,1,Salaried,Female,Single,1,0,Executive,1
41,3,5,4,2,23126,1,4,19,Self Enquiry,1,Salaried,Female,Married,0,1,Manager,0
34,4,4,3,2,21434,5,4,21,Self Enquiry,1,Small Business,Female,Married,0,1,Executive,0
44,3,5,2,1,29498,4,4,34,Company Invited,1,Salaried,Female,Married,0,1,Senior Manager,0
28,3,5,3,2,21019,3,4,9,Self Enquiry,1,Salaried,Female,Married,0,1,Executive,0
37,3,3,3,2,28658,2,4,17,Company Invited,3,Small Business,Male,Single,0,1,Senior Manager,0
57,4,3,4,1,21620,2,4,16,Company Invited,1,Small Business,Female,Divorced,0,0,Executive,0
32,2,3,1,1,24679,1,4,11,Self Enquiry,1,Salaried,Male,Unmarried,0,0,Manager,0
39,3,3,3,1,21084,3,4,36,Company Invited,1,Salaried,Female,Single,0,1,Manager,0
29,3,4,3,1,21274,4,5,7,Company Invited,1,Small Business,Male,Married,0,1,Executive,1
29,3,3,3,1,21391,2,4,28,Self Enquiry,1,Small Business,Male,Divorced,0,0,Executive,0
35,3,3,2,2,17014,1,3,8,Self Enquiry,3,Small Business,Female,Married,0,1,Executive,0
21,2,4,2,1,17716,5,1,18,Self Enquiry,3,Salaried,Female,Single,0,0,Executive,1
55,3,4,4,2,21385,5,3,24,Company Invited,1,Small Business,Male,Divorced,1,1,Manager,0
19,2,5,2,0,17552,3,3,15,Self Enquiry,1,Salaried,Male,Single,0,0,Executive,0
48,3,3,1,2,20381,5,4,6,Self Enquiry,1,Salaried,Male,Single,1,0,Senior Manager,1
50,3,3,1,1,21347,1,3,6,Company Invited,3,Salaried,Female,Married,0,0,Manager,0
29,4,3,3,2,23614,2,5,15,Self Enquiry,2,Small Business,Male,Married,0,0,Executive,0
30,3,5,3,2,28658,5,3,28,Self Enquiry,1,Salaried,Female,Married,0,1,Senior Manager,0
34,3,3,7,2,21114,2,4,21,Self Enquiry,1,Small Business,Male,Divorced,1,0,Executive,1
51,2,4,6,0,20482,2,5,8,Self Enquiry,1,Small Business,Male,Married,0,0,Manager,0
36,3,3,1,0,22644,3,4,9,Self Enquiry,3,Small Business,Female,Married,0,1,Senior Manager,0
33,2,3,6,1,17436,1,3,20,Self Enquiry,1,Small Business,Male,Married,1,1,Executive,1
46,3,3,7,1,25845,1,3,13,Self Enquiry,1,Small Business,Male,Married,0,1,Senior Manager,0
49,4,3,2,3,24059,5,5,7,Self Enquiry,1,Salaried,Male,Unmarried,1,0,Senior Manager,1
53,4,3,4,3,27124,4,4,14,Company Invited,3,Small Business,Female,Married,1,1,Executive,1
36,2,3,5,0,24699,1,4,9,Company Invited,3,Small Business,Male,Married,0,0,Senior Manager,0
32,3,4,2,0,20228,2,4,14,Self Enquiry,3,Large Business,Female,Divorced,1,1,Manager,0
42,2,5,4,0,28191,3,3,32,Company Invited,1,Small Business,Female,Married,1,0,Senior Manager,0
30,4,4,2,1,21969,5,4,17,Company Invited,1,Salaried,Female,Married,0,0,Executive,0
35,4,3,3,1,24015,3,3,28,Self Enquiry,3,Salaried,Male,Unmarried,0,1,Manager,0
35,4,3,3,1,20707,1,5,33,Company Invited,1,Large Business,Female,Married,0,1,Executive,0
33,3,3,3,1,24887,5,2,15,Self Enquiry,3,Small Business,Male,Divorced,0,0,Manager,0
28,2,5,1,0,17561,4,4,8,Company Invited,1,Small Business,Male,Single,0,0,Executive,1
55,4,5,8,1,23118,1,4,17,Self Enquiry,1,Small Business,Female,Unmarried,1,0,Manager,0
40,4,3,3,2,31420,3,5,7,Self Enquiry,1,Salaried,Female,Divorced,0,0,AVP,0
33,3,4,2,1,28585,1,5,9,Self Enquiry,3,Small Business,Male,Single,1,1,Manager,1
27,2,4,1,0,17811,1,3,22,Self Enquiry,1,Large Business,Female,Married,0,1,Executive,0
19,2,3,2,1,17564,3,4,8,Self Enquiry,2,Large Business,Male,Single,0,1,Executive,1
45,4,4,6,1,20720,3,4,30,Company Invited,1,Small Business,Male,Divorced,0,1,Manager,0
52,2,5,2,0,31856,5,4,9,Self Enquiry,3,Small Business,Male,Married,0,1,AVP,0
30,3,5,2,2,26916,4,3,23,Self Enquiry,1,Small Business,Female,Divorced,1,0,Senior Manager,0
55,3,3,2,1,32227,4,4,9,Self Enquiry,1,Large Business,Female,Married,0,0,Senior Manager,0
36,2,4,5,0,17143,3,3,19,Self Enquiry,2,Salaried,Male,Divorced,0,1,Executive,0
46,4,3,2,2,32174,3,4,27,Self Enquiry,1,Small Business,Male,Married,1,1,AVP,0
32,4,3,2,2,21469,5,2,27,Company Invited,3,Salaried,Male,Divorced,0,1,Executive,0
29,4,4,2,1,26333,4,4,10,Self Enquiry,1,Small Business,Female,Married,0,0,Senior Manager,0
33,3,3,5,2,21990,5,2,12,Self Enquiry,1,Salaried,Female,Married,0,1,Executive,0
33,3,3,3,2,24840,4,4,7,Self Enquiry,1,Small Business,Male,Married,1,1,Manager,0
52,2,3,3,0,28247,4,1,34,Company Invited,1,Small Business,Female,Divorced,1,0,AVP,0
36,4,4,2,2,26773,3,4,12,Self Enquiry,1,Large Business,Male,Unmarried,0,1,Senior Manager,0
38,4,3,7,2,23841,2,5,9,Company Invited,1,Salaried,Male,Married,0,0,Manager,0
37,3,3,3,1,21419,2,6,13,Self Enquiry,1,Salaried,Male,Married,0,0,Executive,0
44,4,3,6,3,23417,3,2,35,Company Invited,1,Small Business,Female,Unmarried,0,0,Executive,0
30,3,3,3,1,26317,3,4,34,Self Enquiry,3,Small Business,Female,Married,0,0,Senior Manager,1
41,4,3,4,1,25058,3,5,29,Self Enquiry,3,Small Business,Male,Married,1,1,Manager,1
31,4,5,2,3,30094,1,2,15,Self Enquiry,1,Salaried,Female,Married,1,0,Senior Manager,0
48,3,3,1,0,25999,5,4,10,Self Enquiry,1,Salaried,Male,Unmarried,0,1,Senior Manager,0
36,4,3,6,3,29055,5,5,15,Company Invited,3,Small Business,Female,Divorced,1,1,Senior Manager,0
53,2,3,4,1,33606,1,3,13,Self Enquiry,1,Small Business,Female,Married,0,1,VP,0
39,4,4,2,3,28602,5,4,21,Self Enquiry,3,Salaried,Male,Married,0,1,Manager,0
50,4,4,3,3,23808,3,5,15,Company Invited,1,Salaried,Male,Divorced,0,1,Manager,0
53,2,3,3,1,17306,5,3,12,Self Enquiry,3,Small Business,Male,Married,1,0,Manager,0
43,3,5,3,1,26084,1,4,31,Self Enquiry,1,Small Business,Male,Married,1,1,Senior Manager,0
30,3,3,3,2,26317,3,4,34,Self Enquiry,3,Small Business,Female,Divorced,0,1,Senior Manager,1
42,2,3,6,1,33880,3,3,8,Self Enquiry,1,Salaried,Male,Married,0,1,VP,0
44,3,5,1,0,25482,4,4,6,Self Enquiry,2,Small Business,Male,Divorced,0,1,Senior Manager,1
46,2,3,7,0,32861,5,3,8,Self Enquiry,1,Salaried,Male,Divorced,0,0,AVP,0
61,4,3,5,1,29561,5,6,7,Self Enquiry,1,Small Business,Male,Married,0,0,Senior Manager,0
34,3,4,6,1,20991,4,5,32,Self Enquiry,1,Small Business,Male,Single,1,0,Executive,1
23,2,5,3,1,17819,4,1,10,Self Enquiry,1,Small Business,Male,Married,0,0,Executive,0
28,4,3,3,2,23156,4,4,9,Self Enquiry,3,Salaried,Male,Unmarried,1,0,Manager,0
19,3,3,3,1,20098,4,4,10,Self Enquiry,1,Salaried,Male,Single,0,0,Executive,1
33,3,5,3,0,23564,5,3,22,Self Enquiry,3,Salaried,Fe Male,Unmarried,1,0,Senior Manager,1
43,3,3,7,0,25231,3,3,8,Company Invited,1,Salaried,Male,Married,1,0,Executive,1
30,1,3,2,0,21118,1,4,11,Self Enquiry,3,Small Business,Female,Married,0,1,Manager,0
58,3,3,4,2,25433,3,4,7,Self Enquiry,1,Small Business,Male,Married,0,0,Manager,0
42,3,3,6,2,21129,4,4,21,Self Enquiry,1,Salaried,Male,Married,0,1,Executive,0
35,2,3,7,1,20440,1,5,21,Self Enquiry,3,Small Business,Male,Married,1,1,Manager,1
38,4,4,7,1,23455,4,6,18,Self Enquiry,1,Small Business,Female,Divorced,0,1,Manager,1
26,2,3,2,1,17377,5,3,27,Self Enquiry,1,Small Business,Male,Married,0,1,Executive,1
59,2,3,1,0,25512,5,3,20,Company Invited,1,Salaried,Fe Male,Unmarried,1,1,Senior Manager,1
27,2,5,1,0,21811,3,4,13,Self Enquiry,1,Small Business,Female,Unmarried,0,1,Manager,0
43,3,3,6,1,25798,4,4,31,Self Enquiry,3,Small Business,Male,Married,0,1,Senior Manager,0
34,4,3,8,3,28676,1,4,12,Company Invited,3,Salaried,Male,Divorced,0,1,Manager,0
38,4,5,3,1,22242,3,2,28,Self Enquiry,1,Salaried,Male,Married,1,1,Executive,0
32,4,3,6,2,25260,5,4,9,Self Enquiry,3,Salaried,Male,Unmarried,1,1,Manager,0
36,3,4,1,1,20914,1,3,11,Self Enquiry,1,Salaried,Male,Single,0,1,Manager,0
48,3,3,4,0,27504,4,3,35,Self Enquiry,3,Small Business,Female,Divorced,0,0,Senior Manager,0
34,4,5,5,1,21477,4,5,7,Self Enquiry,1,Salaried,Male,Unmarried,1,0,Executive,0
37,3,4,2,2,24352,3,4,31,Company Invited,1,Salaried,Female,Married,0,1,Manager,0
42,3,3,5,1,23444,3,4,19,Self Enquiry,1,Salaried,Male,Divorced,1,1,Executive,0
37,3,5,2,1,18034,4,3,20,Self Enquiry,1,Salaried,Female,Married,0,1,Executive,0
40,2,3,2,1,34626,3,4,20,Self Enquiry,1,Small Business,Male,Single,0,1,VP,0
28,3,3,3,2,21217,2,5,13,Self Enquiry,1,Salaried,Male,Divorced,0,1,Executive,0
30,2,5,6,1,18204,5,3,11,Self Enquiry,1,Large Business,Female,Married,0,1,Executive,0
30,2,3,1,0,17564,4,3,8,Company Invited,1,Small Business,Female,Single,0,1,Executive,0
35,3,3,5,1,22632,2,3,22,Self Enquiry,1,Salaried,Male,Divorced,1,0,Senior Manager,0
37,3,3,6,2,20163,1,4,8,Company Invited,1,Salaried,Male,Married,0,1,Manager,0
54,2,3,7,0,25686,5,4,8,Self Enquiry,3,Salaried,Female,Divorced,0,1,Senior Manager,0
34,2,3,1,0,22756,1,3,9,Company Invited,1,Salaried,Male,Unmarried,0,1,Manager,0
39,3,3,2,2,22706,2,5,14,Self Enquiry,3,Small Business,Female,Unmarried,0,1,Manager,0
45,4,3,2,2,23446,4,4,7,Company Invited,3,Small Business,Female,Divorced,0,1,Manager,0
29,4,3,7,1,21055,3,4,16,Self Enquiry,1,Small Business,Female,Married,0,0,Executive,0
52,3,3,2,2,21139,2,4,11,Self Enquiry,1,Salaried,Male,Divorced,1,1,Executive,1
48,3,3,3,2,22841,3,4,11,Self Enquiry,3,Salaried,Female,Unmarried,1,1,Manager,0
59,2,3,1,1,20473,5,4,6,Company Invited,3,Salaried,Female,Single,0,1,Manager,0
34,3,4,8,1,21300,4,5,11,Self Enquiry,1,Small Business,Female,Divorced,0,0,Executive,0
50,3,3,2,2,29643,2,5,14,Self Enquiry,1,Salaried,Male,Single,0,1,Senior Manager,0
42,3,4,8,2,25108,5,6,11,Company Invited,2,Salaried,Male,Married,0,0,Manager,0
49,4,3,3,3,21237,1,6,31,Company Invited,3,Salaried,Male,Single,1,1,Executive,1
19,2,3,2,0,16675,1,3,28,Self Enquiry,3,Small Business,Male,Single,1,1,Executive,1
34,3,3,7,2,21114,1,4,21,Self Enquiry,1,Small Business,Male,Married,1,1,Executive,1
34,3,3,2,2,21020,2,5,15,Company Invited,3,Salaried,Female,Single,0,1,Executive,0
32,4,4,2,3,22157,3,5,36,Company Invited,1,Small Business,Male,Unmarried,0,0,Executive,1
28,3,5,7,1,17080,3,4,7,Self Enquiry,1,Large Business,Male,Single,0,1,Executive,1
40,3,3,6,2,23916,4,4,10,Self Enquiry,3,Small Business,Female,Divorced,1,1,Manager,1
31,3,3,2,2,25025,3,4,16,Self Enquiry,2,Salaried,Male,Divorced,1,1,Manager,0
40,3,3,8,1,24414,5,6,28,Company Invited,3,Salaried,Female,Married,0,0,Manager,0
35,3,4,4,1,25903,3,4,31,Self Enquiry,1,Large Business,Male,Married,0,1,Senior Manager,0
32,4,3,3,3,23102,5,4,15,Self Enquiry,1,Salaried,Female,Unmarried,0,1,Manager,0
53,2,3,7,0,29852,3,3,8,Self Enquiry,3,Small Business,Male,Married,0,1,AVP,0
54,2,3,4,1,32779,5,3,9,Self Enquiry,1,Salaried,Male,Divorced,0,1,AVP,0
38,3,3,5,1,24446,1,4,26,Self Enquiry,1,Salaried,Male,Married,0,0,Manager,0
27,3,5,2,2,22412,4,3,6,Self Enquiry,1,Salaried,Female,Divorced,0,1,Senior Manager,0
54,3,3,4,1,17897,5,3,15,Self Enquiry,1,Salaried,Female,Married,0,0,Manager,0
50,3,4,4,1,34144,5,3,10,Self Enquiry,1,Salaried,Male,Married,0,0,VP,0
40,2,3,2,1,34626,3,4,20,Self Enquiry,1,Small Business,Male,Single,0,1,VP,0
40,3,4,2,2,28503,2,4,6,Company Invited,1,Salaried,Male,Divorced,0,1,AVP,0
31,3,3,2,0,17610,4,3,21,Company Invited,1,Small Business,Male,Married,0,1,Executive,1
33,3,3,8,1,22111,1,4,17,Company Invited,1,Salaried,Male,Married,0,0,Executive,0
23,4,5,3,1,21129,2,6,15,Self Enquiry,1,Salaried,Male,Divorced,0,1,Executive,0
43,3,3,2,2,21374,4,4,9,Self Enquiry,2,Large Business,Male,Married,1,1,Executive,0
42,3,5,6,0,20538,4,1,19,Self Enquiry,1,Small Business,Male,Married,0,1,Manager,0
51,2,3,1,1,17461,2,3,10,Self Enquiry,1,Salaried,Male,Divorced,1,1,Executive,1
30,2,5,1,1,24957,4,3,26,Self Enquiry,1,Salaried,Male,Married,0,0,Manager,0
37,2,5,5,1,20974,3,2,12,Self Enquiry,1,Small Business,Male,Married,1,1,Manager,0
32,3,5,2,1,21725,2,3,9,Self Enquiry,1,Small Business,Female,Divorced,0,1,Manager,0
55,3,3,2,1,32227,4,4,9,Self Enquiry,1,Large Business,Female,Divorced,0,1,Senior Manager,0
33,4,3,2,2,21746,3,4,9,Company Invited,1,Salaried,Male,Unmarried,0,1,Executive,0
28,3,4,2,1,21736,4,4,24,Self Enquiry,1,Large Business,Male,Married,1,0,Executive,0
34,2,3,2,1,17691,3,3,6,Self Enquiry,1,Salaried,Male,Married,0,1,Executive,0
31,4,5,3,3,20711,5,5,19,Company Invited,3,Salaried,Male,Married,0,1,Executive,1
36,3,3,3,2,20947,5,2,15,Self Enquiry,1,Salaried,Male,Married,0,1,Executive,0
39,4,3,2,1,27418,3,5,17,Self Enquiry,3,Small Business,Male,Married,1,1,Senior Manager,0
36,2,5,1,1,23321,5,3,16,Self Enquiry,1,Salaried,Male,Married,1,1,Senior Manager,0
34,3,4,2,1,22516,1,5,11,Self Enquiry,1,Small Business,Female,Divorced,0,0,Executive,0
40,2,3,1,1,28499,4,3,15,Company Invited,1,Small Business,Fe Male,Unmarried,0,1,Senior Manager,0
36,4,4,5,2,29581,3,5,32,Self Enquiry,1,Large Business,Male,Married,0,1,Senior Manager,0
39,2,3,1,0,24613,3,1,6,Self Enquiry,1,Small Business,Male,Married,0,1,Senior Manager,0
41,3,3,4,1,34141,1,4,16,Self Enquiry,2,Salaried,Male,Married,0,1,VP,0
37,3,4,8,2,23619,4,4,13,Self Enquiry,1,Small Business,Male,Married,0,0,Manager,0
29,2,5,2,0,17319,1,4,6,Self Enquiry,1,Salaried,Female,Married,1,0,Executive,1
37,3,3,3,1,21419,1,6,13,Self Enquiry,1,Salaried,Male,Married,0,1,Executive,0
42,3,4,3,1,28033,3,4,11,Company Invited,3,Small Business,Male,Unmarried,0,1,Manager,1
35,3,5,3,1,24803,4,4,17,Self Enquiry,1,Small Business,Male,Unmarried,0,0,Manager,1
40,3,4,2,1,25067,2,3,10,Self Enquiry,2,Salaried,Female,Divorced,0,1,Manager,0
32,4,4,3,3,26124,3,2,7,Company Invited,1,Salaried,Fe Male,Unmarried,0,1,Senior Manager,1
34,3,3,4,1,21142,4,3,14,Self Enquiry,1,Small Business,Female,Single,0,1,Manager,0
32,3,3,1,0,17314,5,3,6,Company Invited,1,Salaried,Male,Married,0,0,Executive,0
23,3,3,2,0,17647,5,3,18,Self Enquiry,1,Salaried,Male,Single,0,1,Executive,0
39,3,3,2,1,27742,3,4,6,Self Enquiry,1,Salaried,Female,Divorced,0,0,AVP,0
30,4,3,3,3,22438,2,4,7,Self Enquiry,1,Salaried,Female,Married,0,0,Executive,0
39,3,4,21,0,21782,2,3,15,Company Invited,1,Salaried,Male,Unmarried,0,1,Manager,0
34,2,3,2,0,17579,5,3,20,Self Enquiry,3,Large Business,Female,Married,1,1,Executive,0
25,3,4,3,2,21372,5,5,16,Company Invited,1,Salaried,Male,Married,0,0,Executive,0
22,4,3,2,2,21303,5,4,25,Company Invited,3,Small Business,Female,Married,1,0,Manager,1
41,3,3,2,2,21020,3,5,9,Self Enquiry,1,Small Business,Female,Single,1,1,Executive,0
32,4,3,3,1,21288,4,4,22,Company Invited,1,Small Business,Male,Married,0,1,Executive,1
27,3,3,2,1,22835,2,5,30,Self Enquiry,3,Small Business,Female,Divorced,1,1,Manager,0
34,3,3,6,1,25797,3,5,12,Self Enquiry,1,Salaried,Male,Married,0,0,Senior Manager,0
28,3,3,2,1,20253,3,3,15,Self Enquiry,3,Salaried,Male,Single,0,1,Manager,0
39,3,5,3,1,24283,3,3,14,Self Enquiry,3,Small Business,Female,Married,1,0,Manager,0
31,3,3,2,2,17610,4,3,21,Company Invited,1,Small Business,Male,Divorced,0,1,Executive,1
