Age,NumberOfPersonVisiting,PreferredPropertyStar,NumberOfTrips,NumberOfChildrenVisiting,MonthlyIncome,PitchSatisfactionScore,NumberOfFollowups,DurationOfPitch,TypeofContact,CityTier,Occupation,Gender,MaritalStatus,Passport,OwnCar,Designation
30,3,5,2,1,24714,4,4,6,Self Enquiry,3,Salaried,Male,Married,0,1,Manager
32,3,3,4,1,25261,1,4,17,Self Enquiry,3,Small Business,Female,Married,1,0,Manager
34,3,3,3,1,21529,2,4,12,Self Enquiry,3,Small Business,Female,Unmarried,1,1,Executive
20,2,5,2,1,17973,3,3,10,Self Enquiry,1,Large Business,Male,Single,0,1,Executive
37,4,5,8,3,25520,1,2,10,Self Enquiry,1,Salaried,Male,Married,0,1,Manager
30,2,5,6,1,21696,1,4,32,Company Invited,3,Small Business,Female,Unmarried,0,1,Manager
34,2,3,5,1,26403,5,4,13,Company Invited,1,Salaried,Male,Married,0,1,Manager
33,3,5,6,2,20854,4,5,9,Self Enquiry,1,Large Business,Male,Single,0,0,Manager
38,3,3,3,2,30863,3,4,18,Company Invited,1,Salaried,Male,Married,1,1,Senior Manager
35,4,3,4,3,28391,4,4,11,Self Enquiry,3,Salaried,Male,Married,1,0,Senior Manager
29,3,5,2,1,23886,4,6,34,Self Enquiry,1,Small Business,Female,Married,0,1,Manager
41,3,3,5,2,20891,3,3,17,Self Enquiry,1,Salaried,Female,Divorced,1,0,Executive
59,2,3,1,1,33844,1,4,8,Company Invited,2,Salaried,Female,Married,0,0,VP
56,3,3,2,1,32255,5,5,9,Company Invited,3,Salaried,Female,Single,0,0,Executive
28,3,3,3,1,20384,2,4,10,Company Invited,1,Small Business,Male,Divorced,0,1,Executive
28,3,4,2,1,22146,5,4,9,Self Enquiry,1,Small Business,Male,Divorced,0,1,Executive
27,2,3,1,1,21500,1,1,8,Self Enquiry,3,Small Business,Female,Unmarried,0,0,Manager
50,3,4,2,2,33200,1,3,9,Company Invited,2,Small Business,Male,Married,0,1,VP
38,2,3,5,1,22861,1,3,6,Self Enquiry,1,Salaried,Female,Unmarried,1,0,Senior Manager
34,2,5,3,0,26631,2,4,11,Self Enquiry,1,Small Business,Fe Male,Unmarried,0,0,Senior Manager
42,2,3,2,0,34232,1,3,10,Self Enquiry,1,Large Business,Male,Married,0,0,VP
31,4,3,2,1,22439,5,5,12,Company Invited,1,Salaried,Male,Married,0,0,Executive
37,3,4,6,1,20821,3,4,20,Self Enquiry,2,Salaried,Male,Divorced,0,1,Executive
46,2,5,4,1,33947,2,3,8,Self Enquiry,3,Small Business,Female,Single,0,0,VP
41,2,4,2,0,24355,3,3,10,Company Invited,3,Small Business,Male,Unmarried,0,1,Manager
56,3,4,3,2,32255,3,5,15,Company Invited,1,Small Business,Male,Married,1,1,AVP
27,3,3,2,1,22582,3,5,9,Self Enquiry,1,Small Business,Male,Unmarried,0,0,Executive
44,3,3,2,2,17936,3,3,16,Self Enquiry,1,Salaried,Male,Single,1,1,Executive
29,4,3,3,2,20241,4,5,7,Self Enquiry,1,Salaried,Male,Married,0,0,Executive
29,2,3,1,0,17058,2,3,6,Self Enquiry,1,Large Business,Male,Single,0,0,Executive
32,3,4,7,2,17332,3,4,6,Company Invited,1,Salaried,Female,Married,0,0,Executive
35,4,3,3,3,21231,5,5,23,Company Invited,1,Salaried,Female,Single,0,1,Executive
33,2,5,7,1,18143,3,1,14,Self Enquiry,1,Salaried,Male,Married,0,1,Executive
33,4,3,2,3,23143,4,4,33,Company Invited,3,Small Business,Male,Divorced,0,1,Manager
43,2,5,1,0,25820,4,3,33,Company Invited,1,Salaried,Female,Married,0,1,Senior Manager
44,4,3,2,1,22217,1,4,9,Self Enquiry,2,Salaried,Male,Unmarried,0,0,Executive
29,4,3,7,2,21055,3,4,16,Self Enquiry,1,Small Business,Female,Married,0,1,Executive
21,3,5,3,1,21651,3,4,11,Self Enquiry,1,Large Business,Male,Unmarried,0,1,Executive
38,4,3,6,3,28280,3,4,9,Self Enquiry,3,Small Business,Male,Married,1,0,Manager
39,2,3,1,1,22880,2,1,8,Self Enquiry,3,Salaried,Male,Unmarried,0,1,Senior Manager
34,3,3,2,0,20714,1,3,15,Self Enquiry,3,Salaried,Female,Married,0,0,Manager
37,3,4,2,1,23906,5,4,7,Self Enquiry,1,Salaried,Female,Divorced,0,0,Manager
51,2,3,1,0,34537,5,3,12,Self Enquiry,1,Salaried,Male,Single,0,1,VP
35,2,3,2,0,21646,5,5,12,Self Enquiry,1,Salaried,Male,Unmarried,0,1,Manager
37,3,3,7,2,21513,1,4,10,Self Enquiry,1,Salaried,Female,Married,0,0,Executive
47,2,3,2,0,31752,4,3,8,Self Enquiry,1,Salaried,Female,Married,1,1,AVP
29,3,3,2,0,20056,3,4,14,Self Enquiry,1,Small Business,Male,Divorced,1,0,Manager
56,2,5,3,1,17066,5,3,6,Self Enquiry,1,Salaried,Female,Divorced,0,1,Executive
40,2,4,2,0,20605,2,3,32,Company Invited,1,Small Business,Female,Married,0,1,Manager
42,4,3,4,1,25489,1,5,9,Company Invited,1,Salaried,Fe Male,Unmarried,1,0,Manager
45,2,3,7,0,33824,3,1,19,Self Enquiry,3,Small Business,Male,Single,1,1,AVP
45,3,3,1,0,31792,4,4,8,Company Invited,1,Small Business,Male,Divorced,0,1,AVP
41,2,4,2,1,31015,3,3,8,Self Enquiry,3,Salaried,Male,Single,0,1,AVP
51,3,3,3,1,31307,3,3,32,Self Enquiry,3,Small Business,Female,Divorced,0,0,AVP
32,4,5,3,2,20896,4,5,7,Self Enquiry,1,Salaried,Male,Married,0,1,Executive
28,3,3,2,0,20253,3,3,15,Self Enquiry,3,Salaried,Male,Single,0,1,Manager
32,3,3,2,2,23499,4,4,12,Self Enquiry,1,Large Business,Male,Divorced,1,0,Executive
43,4,3,4,1,23909,5,2,10,Self Enquiry,1,Salaried,Female,Divorced,1,0,Manager
38,4,3,8,1,20768,3,5,9,Self Enquiry,1,Free Lancer,Male,Single,1,0,Executive
46,3,3,5,1,20772,5,3,11,Company Invited,3,Small Business,Male,Single,1,1,Manager
44,4,3,7,2,29476,4,5,32,Self Enquiry,3,Small Business,Male,Married,0,1,Senior Manager
41,4,3,4,2,25058,3,5,29,Self Enquiry,3,Small Business,Male,Divorced,1,1,Manager
40,3,3,2,1,25435,1,4,21,Self Enquiry,1,Salaried,Female,Married,0,1,Senior Manager
42,3,4,6,2,28525,3,3,32,Company Invited,3,Small Business,Female,Divorced,0,1,AVP
40,3,4,2,1,25067,1,2,10,Self Enquiry,2,Salaried,Female,Married,0,0,Manager
27,2,3,2,0,17394,5,3,23,Self Enquiry,1,Salaried,Female,Single,1,1,Executive
48,2,4,1,0,22898,1,4,8,Self Enquiry,3,Small Business,Male,Unmarried,1,1,Manager
39,3,5,3,2,20377,5,3,16,Self Enquiry,1,Small Business,Male,Married,0,1,Manager
36,3,3,2,2,22908,4,6,29,Self Enquiry,1,Salaried,Male,Unmarried,0,1,Executive
51,3,3,3,1,21361,4,5,10,Self Enquiry,3,Small Business,Male,Divorced,1,0,Executive
48,3,3,2,2,32448,5,4,10,Company Invited,3,Small Business,Female,Married,1,1,AVP
35,3,5,4,1,23966,3,3,23,Self Enquiry,3,Salaried,Male,Divorced,1,1,Manager
31,3,5,2,1,28635,4,4,27,Self Enquiry,1,Salaried,Male,Divorced,0,1,Manager
26,2,3,2,1,17366,1,4,11,Company Invited,1,Small Business,Female,Married,1,0,Executive
54,3,5,1,0,20485,3,3,25,Self Enquiry,1,Small Business,Female,Married,1,0,Manager
39,4,3,8,1,21735,4,4,9,Self Enquiry,1,Small Business,Male,Divorced,1,0,Executive
44,2,3,3,1,21465,3,3,16,Self Enquiry,1,Salaried,Male,Married,1,0,Manager
48,2,3,3,1,30202,5,4,10,Company Invited,1,Small Business,Male,Married,0,1,AVP
43,2,5,1,0,24985,5,3,13,Self Enquiry,1,Salaried,Female,Married,0,1,Senior Manager
34,2,3,2,0,21274,5,3,8,Self Enquiry,3,Salaried,Male,Single,0,0,Manager
27,3,3,7,1,22984,5,4,36,Self Enquiry,3,Small Business,Male,Married,0,0,Manager
32,3,3,3,1,25610,2,4,27,Company Invited,3,Small Business,Female,Divorced,0,1,Manager
31,3,4,5,2,27928,4,4,36,Self Enquiry,3,Large Business,Male,Married,0,0,Senior Manager
36,3,4,1,2,20914,2,3,11,Self Enquiry,1,Salaried,Male,Single,0,0,Manager
55,3,5,4,2,24618,4,4,10,Self Enquiry,3,Small Business,Female,Divorced,0,1,Manager
51,2,4,6,1,20482,1,5,8,Self Enquiry,1,Small Business,Male,Married,0,0,Manager
41,3,3,3,2,38304,3,5,21,Self Enquiry,1,Small Business,Male,Single,0,1,VP
59,2,5,1,0,22637,3,3,31,Self Enquiry,3,Salaried,Female,Unmarried,0,1,Senior Manager
24,2,5,3,1,18172,3,3,15,Company Invited,1,Small Business,Male,Single,1,0,Executive
46,3,5,1,1,32048,1,3,8,Self Enquiry,3,Small Business,Female,Married,0,1,AVP
51,3,3,1,1,20441,5,3,27,Self Enquiry,3,Small Business,Male,Single,1,1,Manager
47,3,4,1,0,26957,5,3,6,Company Invited,1,Small Business,Female,Married,0,0,Senior Manager
44,3,3,2,2,24024,2,6,16,Self Enquiry,3,Small Business,Fe Male,Unmarried,0,1,Manager
36,4,3,3,3,29363,4,5,16,Self Enquiry,1,Salaried,Female,Married,1,1,Senior Manager
41,4,3,3,3,23339,3,4,9,Self Enquiry,1,Salaried,Male,Unmarried,0,1,Manager
56,3,3,1,2,17339,4,3,13,Self Enquiry,1,Large Business,Male,Married,0,1,Executive
38,3,3,2,1,22178,5,2,12,Company Invited,1,Large Business,Male,Unmarried,0,1,Executive
35,2,5,1,1,25306,5,4,16,Self Enquiry,3,Small Business,Male,Married,0,1,Senior Manager
29,3,3,2,2,26935,1,4,9,Self Enquiry,1,Small Business,Male,Married,0,0,Senior Manager
44,3,5,2,1,28663,5,4,14,Self Enquiry,1,Salaried,Female,Married,0,1,Senior Manager
44,4,3,5,1,24357,3,4,16,Company Invited,1,Small Business,Male,Married,1,1,Manager
38,2,3,1,0,24526,3,4,29,Company Invited,1,Salaried,Male,Unmarried,0,1,Senior Manager
25,3,3,3,1,23055,3,5,24,Self Enquiry,1,Small Business,Female,Married,0,0,Manager
42,2,3,3,0,20265,2,3,27,Company Invited,1,Small Business,Female,Married,0,0,Manager
39,2,3,5,1,20902,5,4,10,Self Enquiry,3,Salaried,Female,Married,0,1,Manager
26,3,3,6,2,21907,5,4,7,Self Enquiry,1,Large Business,Male,Divorced,0,1,Executive
30,3,5,2,2,17033,5,4,18,Company Invited,3,Salaried,Male,Married,0,1,Executive
36,2,3,2,1,25096,4,3,14,Self Enquiry,1,Large Business,Female,Married,0,1,Senior Manager
35,3,4,1,2,26996,5,1,28,Self Enquiry,1,Salaried,Female,Married,0,1,Senior Manager
28,3,3,2,1,17070,2,3,15,Self Enquiry,1,Small Business,Male,Divorced,0,1,Executive
26,3,3,3,1,24422,3,5,12,Self Enquiry,3,Small Business,Male,Unmarried,1,1,Manager
30,2,3,2,1,17206,4,4,15,Self Enquiry,1,Small Business,Male,Single,0,1,Executive
36,2,3,2,0,25325,1,4,9,Self Enquiry,3,Salaried,Male,Married,1,1,Senior Manager
30,4,3,3,3,21117,3,5,31,Company Invited,1,Salaried,Male,Single,1,1,Executive
50,2,3,5,1,34331,5,3,5,Self Enquiry,3,Small Business,Male,Married,1,0,VP
29,3,4,3,1,21644,4,4,8,Self Enquiry,3,Small Business,Male,Divorced,0,0,Manager
44,3,3,2,1,24024,1,6,16,Self Enquiry,3,Small Business,Fe Male,Unmarried,0,0,Manager
32,4,3,2,3,32353,4,4,10,Company Invited,1,Small Business,Male,Married,0,1,Senior Manager
24,2,5,1,0,17296,3,4,27,Self Enquiry,1,Large Business,Male,Married,0,0,Executive
27,3,5,3,2,23419,3,4,18,Company Invited,1,Small Business,Male,Divorced,1,1,Manager
40,3,3,2,2,24094,4,4,14,Self Enquiry,1,Small Business,Male,Unmarried,1,1,Executive
23,4,3,3,3,21613,3,2,23,Company Invited,1,Small Business,Male,Married,1,0,Executive
43,3,3,1,2,17258,4,3,27,Company Invited,1,Small Business,Male,Divorced,0,0,Executive
33,2,3,2,1,20968,5,3,13,Company Invited,1,Salaried,Male,Married,0,1,Manager
50,3,3,5,2,17380,5,3,15,Self Enquiry,1,Salaried,Male,Married,0,1,Executive
28,4,3,3,3,21244,1,5,10,Company Invited,1,Small Business,Male,Married,1,0,Executive
53,2,5,1,1,23381,1,3,6,Self Enquiry,3,Small Business,Female,Unmarried,0,1,Manager
50,3,3,1,1,21347,2,3,6,Company Invited,3,Salaried,Female,Divorced,0,1,Manager
35,3,3,3,1,23216,5,4,24,Self Enquiry,1,Salaried,Female,Unmarried,1,1,Executive
34,3,5,4,2,24054,3,2,7,Company Invited,3,Salaried,Female,Married,0,0,Manager
46,3,5,2,1,25453,2,3,6,Self Enquiry,3,Small Business,Female,Married,0,1,Senior Manager
52,2,3,1,0,18149,1,3,17,Self Enquiry,1,Salaried,Female,Married,0,1,Manager
47,4,4,5,1,35550,5,6,9,Self Enquiry,3,Large Business,Female,Married,1,1,AVP
44,3,5,2,0,17559,3,3,15,Self Enquiry,1,Salaried,Male,Married,1,1,Executive
33,3,3,3,1,21473,5,4,32,Self Enquiry,1,Salaried,Male,Unmarried,1,0,Executive
25,2,3,3,1,23639,4,4,34,Self Enquiry,3,Salaried,Male,Married,0,1,Manager
44,4,3,3,1,26525,3,4,9,Self Enquiry,3,Small Business,Male,Married,1,0,Manager
33,3,3,2,0,28458,2,3,6,Company Invited,1,Salaried,Fe Male,Unmarried,1,1,Senior Manager
37,4,3,5,3,25772,3,4,17,Self Enquiry,1,Large Business,Female,Divorced,0,0,Senior Manager
30,2,4,2,0,17141,5,4,13,Self Enquiry,1,Small Business,Male,Married,0,0,Executive
42,3,3,3,1,27919,5,4,13,Self Enquiry,3,Small Business,Male,Unmarried,0,1,Senior Manager
30,3,3,2,1,17083,3,3,9,Company Invited,1,Small Business,Female,Married,0,1,Executive
37,3,4,3,2,22370,3,4,10,Company Invited,1,Large Business,Male,Married,0,0,Executive
32,3,4,2,1,21335,3,5,16,Self Enquiry,1,Salaried,Male,Unmarried,1,1,Executive
31,3,3,4,0,24824,3,3,26,Company Invited,1,Salaried,Male,Divorced,0,1,Senior Manager
50,4,4,3,1,23808,1,5,15,Company Invited,1,Salaried,Male,Married,0,0,Manager
34,4,3,6,3,21174,3,4,9,Self Enquiry,1,Small Business,Male,Single,0,0,Executive
39,2,5,4,1,24966,5,5,19,Company Invited,1,Salaried,Male,Married,0,1,Manager
34,3,3,3,2,24713,4,3,10,Self Enquiry,3,Salaried,Male,Married,1,0,Senior Manager
48,4,3,5,3,21654,4,4,11,Company Invited,3,Small Business,Male,Unmarried,0,0,Manager
33,2,3,1,1,17342,2,4,14,Company Invited,3,Salaried,Female,Single,0,1,Executive
43,3,3,4,1,23943,1,4,28,Company Invited,1,Small Business,Female,Married,0,0,Manager
46,3,3,2,1,23528,1,4,27,Self Enquiry,3,Salaried,Female,Unmarried,0,1,Manager
37,3,5,3,1,21421,1,2,23,Self Enquiry,1,Salaried,Female,Unmarried,0,1,Executive
31,2,3,2,0,21932,2,3,26,Company Invited,3,Small Business,Female,Divorced,0,1,Manager
23,3,4,3,2,20922,1,4,18,Self Enquiry,1,Small Business,Female,Married,0,1,Executive
39,3,3,2,1,21984,5,4,11,Self Enquiry,1,Small Business,Female,Married,0,0,Executive
41,4,3,2,1,31915,5,4,13,Self Enquiry,1,Salaried,Female,Single,0,1,AVP
42,3,3,1,0,21244,3,4,20,Self Enquiry,3,Small Business,Female,Single,0,0,Manager
33,3,4,7,2,26878,3,3,11,Company Invited,1,Salaried,Female,Divorced,0,1,Senior Manager
33,3,3,3,2,23688,5,4,13,Self Enquiry,3,Small Business,Male,Unmarried,0,1,Manager
37,2,4,6,1,23163,2,4,10,Self Enquiry,1,Large Business,Male,Unmarried,0,1,Manager
43,2,3,4,0,21804,5,4,21,Company Invited,3,Salaried,Male,Married,0,1,Manager
36,3,5,6,0,21134,1,4,19,Self Enquiry,3,Small Business,Male,Married,1,1,Manager
37,3,3,6,2,22366,5,2,25,Company Invited,1,Salaried,Male,Married,0,1,Executive
49,2,3,3,1,33711,3,4,10,Self Enquiry,1,Small Business,Male,Married,0,0,VP
45,3,5,3,0,25851,3,5,26,Self Enquiry,1,Small Business,Male,Married,1,0,Senior Manager
29,3,3,8,2,23060,3,4,9,Self Enquiry,1,Small Business,Male,Unmarried,0,1,Executive
41,4,3,5,1,23100,2,5,33,Company Invited,1,Small Business,Female,Divorced,1,1,Manager
40,3,3,2,1,22786,4,4,31,Self Enquiry,1,Salaried,Male,Unmarried,0,1,Manager
42,3,4,7,0,17372,1,1,13,Self Enquiry,1,Small Business,Female,Divorced,1,0,Manager
33,3,3,5,2,29837,2,4,10,Self Enquiry,1,Salaried,Female,Single,0,1,Senior Manager
39,3,3,2,2,24423,3,4,30,Self Enquiry,1,Salaried,Male,Married,0,0,Manager
36,2,3,5,1,21653,2,3,6,Company Invited,3,Small Business,Female,Unmarried,0,1,Manager
32,3,3,5,2,21007,4,5,14,Self Enquiry,3,Salaried,Male,Divorced,0,1,Executive
20,3,5,2,2,17600,3,4,17,Self Enquiry,1,Small Business,Female,Single,1,1,Executive
41,2,3,5,1,17451,4,3,20,Self Enquiry,1,Salaried,Male,Married,0,1,Executive
55,3,3,1,0,17662,5,4,8,Self Enquiry,1,Large Business,Male,Married,0,0,Executive
25,4,3,4,3,20971,3,4,7,Self Enquiry,1,Small Business,Male,Divorced,1,1,Executive
32,3,3,3,1,29471,3,4,15,Self Enquiry,3,Salaried,Male,Married,0,1,Senior Manager
36,3,5,2,2,28260,4,4,11,Self Enquiry,3,Large Business,Male,Unmarried,1,1,Senior Manager
30,3,3,2,2,20775,3,3,34,Self Enquiry,1,Small Business,Female,Divorced,0,0,Manager
36,2,4,1,1,20674,3,3,30,Company Invited,1,Salaried,Female,Married,0,1,Manager
19,4,4,3,3,20556,4,4,12,Company Invited,3,Small Business,Male,Single,1,1,Executive
38,4,3,2,3,25025,3,4,12,Self Enquiry,1,Small Business,Male,Married,0,1,Manager
36,3,3,8,2,20936,1,5,7,Self Enquiry,1,Small Business,Male,Married,0,1,Executive
33,2,5,3,0,21392,5,3,14,Self Enquiry,3,Salaried,Male,Married,0,1,Manager
35,3,5,5,1,17194,2,3,6,Company Invited,1,Small Business,Male,Divorced,0,0,Executive
32,4,3,6,2,24138,5,2,13,Self Enquiry,3,Small Business,Male,Married,0,1,Manager
28,3,3,2,0,19908,3,3,11,Self Enquiry,3,Small Business,Male,Single,0,1,Manager
29,4,3,4,2,22163,4,4,9,Self Enquiry,1,Salaried,Male,Unmarried,0,0,Executive
33,3,3,3,2,24074,4,4,17,Self Enquiry,3,Small Business,Male,Unmarried,0,1,Manager
49,3,5,2,1,34080,4,5,7,Self Enquiry,1,Salaried,Female,Married,0,0,AVP
36,2,4,4,1,24278,4,3,9,Self Enquiry,3,Small Business,Fe Male,Unmarried,1,0,Manager
48,4,3,7,2,23748,2,4,9,Self Enquiry,1,Small Business,Female,Married,0,0,Manager
38,3,5,7,2,20980,2,1,8,Company Invited,1,Salaried,Female,Single,1,1,Manager
48,3,3,1,0,21439,4,3,22,Self Enquiry,3,Salaried,Female,Married,0,1,Manager
31,2,4,2,1,17302,5,3,6,Company Invited,3,Salaried,Female,Single,1,1,Executive
26,4,3,3,3,21567,2,5,14,Self Enquiry,1,Small Business,Male,Divorced,0,1,Executive
36,3,3,4,2,24440,3,4,9,Company Invited,1,Small Business,Male,Married,0,0,Manager
43,3,3,4,0,20679,3,3,15,Company Invited,1,Small Business,Male,Married,1,1,Manager
39,4,5,8,3,24658,2,2,9,Company Invited,1,Salaried,Fe Male,Unmarried,1,1,Manager
35,2,3,2,1,21646,5,5,12,Self Enquiry,1,Salaried,Male,Unmarried,0,0,Manager
51,2,4,6,1,27490,3,4,14,Self Enquiry,1,Salaried,Male,Divorced,0,1,Senior Manager
45,2,4,1,0,17348,4,3,15,Self Enquiry,1,Salaried,Male,Married,0,1,Manager
44,3,4,3,2,33014,3,5,19,Self Enquiry,1,Salaried,Male,Married,0,0,AVP
41,4,3,3,3,27772,4,5,15,Self Enquiry,1,Small Business,Male,Unmarried,1,1,Executive
38,4,3,8,3,28726,3,4,17,Company Invited,1,Small Business,Male,Married,0,0,Senior Manager
51,4,3,3,2,21899,1,2,35,Self Enquiry,1,Small Business,Male,Married,1,0,Executive
23,3,3,2,2,22849,5,4,10,Self Enquiry,1,Salaried,Female,Married,1,1,Manager
50,3,5,2,1,32924,5,3,8,Company Invited,1,Salaried,Male,Married,0,1,AVP
59,2,3,1,0,17267,4,3,12,Self Enquiry,2,Small Business,Male,Divorced,0,1,Executive
34,3,3,3,1,22278,2,4,9,Self Enquiry,2,Salaried,Male,Divorced,0,0,Executive
28,2,3,6,0,17028,2,4,30,Self Enquiry,1,Salaried,Male,Single,1,0,Executive
52,3,4,7,2,24160,1,6,9,Self Enquiry,1,Small Business,Male,Married,0,0,Manager
51,3,3,3,2,21361,4,5,10,Self Enquiry,3,Small Business,Male,Married,1,1,Executive
31,3,5,2,0,17218,4,4,6,Self Enquiry,1,Salaried,Male,Divorced,0,0,Executive
28,2,4,2,0,17408,1,3,30,Self Enquiry,1,Small Business,Male,Married,1,0,Executive
41,4,3,3,2,29113,1,5,22,Self Enquiry,1,Salaried,Female,Married,0,1,Senior Manager
48,4,3,7,1,23748,1,4,9,Self Enquiry,1,Small Business,Female,Married,0,0,Manager
27,2,3,2,0,23726,1,3,14,Company Invited,3,Salaried,Male,Unmarried,0,1,Senior Manager
33,2,3,1,0,28610,5,3,21,Self Enquiry,1,Small Business,Male,Divorced,1,0,Senior Manager
28,4,5,3,1,22744,1,5,26,Self Enquiry,1,Salaried,Male,Married,0,0,Executive
33,3,3,5,2,17496,3,3,8,Self Enquiry,1,Small Business,Male,Single,0,0,Executive
36,3,5,1,2,17342,2,4,14,Self Enquiry,2,Salaried,Male,Divorced,0,1,Executive
32,4,5,3,1,25490,5,5,31,Self Enquiry,1,Small Business,Fe Male,Unmarried,0,1,Manager
30,4,3,3,2,23327,1,4,9,Company Invited,3,Salaried,Male,Married,0,1,Manager
29,3,5,7,0,17404,5,4,16,Self Enquiry,1,Salaried,Female,Single,1,1,Executive
35,3,5,4,2,21638,2,4,13,Self Enquiry,1,Small Business,Male,Unmarried,0,1,Executive
31,3,3,5,0,22547,1,3,13,Self Enquiry,3,Small Business,Male,Married,0,0,Manager
26,3,3,2,2,23585,1,4,15,Self Enquiry,3,Salaried,Female,Married,1,1,Manager
29,3,3,3,1,20722,1,4,7,Self Enquiry,1,Salaried,Male,Married,0,0,Executive
35,4,3,3,1,25390,5,5,35,Self Enquiry,3,Small Business,Female,Married,0,1,Manager
47,3,3,4,1,23488,5,4,25,Self Enquiry,1,Small Business,Female,Married,0,0,Manager
19,4,3,3,1,20582,5,4,15,Company Invited,1,Small Business,Male,Single,0,0,Executive
41,3,3,2,1,21020,3,5,9,Self Enquiry,1,Small Business,Female,Single,1,0,Executive
60,4,3,5,3,32404,5,5,9,Self Enquiry,1,Salaried,Female,Single,1,0,AVP
46,3,3,2,2,24619,5,4,15,Self Enquiry,3,Small Business,Male,Unmarried,0,1,Senior Manager
29,4,5,5,3,25352,3,4,14,Self Enquiry,1,Salaried,Male,Unmarried,1,0,Executive
37,3,4,4,1,27525,4,5,16,Self Enquiry,1,Small Business,Male,Married,1,1,Manager
44,2,4,2,1,17342,3,3,6,Company Invited,1,Small Business,Male,Married,1,1,Executive
34,3,5,4,1,24054,3,3,7,Company Invited,3,Salaried,Female,Divorced,0,1,Manager
50,3,4,4,0,34144,5,3,10,Self Enquiry,1,Salaried,Male,Married,0,1,VP
23,3,5,2,0,16601,3,1,12,Self Enquiry,1,Salaried,Male,Married,1,0,Executive
57,4,4,2,1,23641,5,4,21,Self Enquiry,1,Salaried,Female,Married,1,1,Executive
35,4,3,3,3,25477,1,2,15,Self Enquiry,3,Large Business,Male,Married,0,0,Manager
30,4,4,7,3,21224,3,5,32,Self Enquiry,1,Large Business,Female,Married,0,1,Executive
29,2,3,2,0,22918,3,3,6,Company Invited,3,Small Business,Female,Divorced,0,1,Senior Manager
39,3,3,3,2,20380,5,4,9,Company Invited,1,Salaried,Male,Divorced,1,1,Executive
30,4,3,3,1,21398,2,6,7,Company Invited,1,Salaried,Male,Married,0,1,Executive
34,3,3,2,1,17553,5,4,22,Company Invited,1,Salaried,Female,Single,0,1,Executive
60,3,3,7,1,23849,3,5,10,Self Enquiry,3,Salaried,Fe Male,Unmarried,0,0,Manager
28,3,5,3,2,21019,3,4,9,Self Enquiry,1,Salaried,Female,Married,0,0,Executive
19,3,5,1,1,17325,3,5,6,Company Invited,3,Large Business,Female,Single,0,1,Executive
39,2,3,5,1,20238,4,3,9,Self Enquiry,3,Small Business,Female,Divorced,1,1,Manager
42,3,5,3,2,27070,3,3,7,Self Enquiry,3,Small Business,Male,Divorced,0,1,Senior Manager
52,4,3,2,3,24119,5,4,28,Self Enquiry,3,Small Business,Male,Unmarried,1,0,Manager
37,1,3,5,0,28664,2,3,13,Self Enquiry,1,Small Business,Male,Single,0,0,Senior Manager
58,3,3,5,0,32875,5,3,27,Self Enquiry,3,Salaried,Female,Married,1,1,AVP
59,3,3,4,0,28726,5,4,8,Self Enquiry,1,Salaried,Female,Single,1,1,AVP
35,3,4,2,1,30672,5,4,14,Self Enquiry,1,Salaried,Female,Single,0,0,Senior Manager
36,4,5,5,3,27644,3,4,24,Self Enquiry,3,Salaried,Male,Married,1,0,Manager
33,2,4,4,1,17277,5,3,9,Self Enquiry,2,Salaried,Male,Married,1,0,Executive
47,2,3,3,0,23633,3,3,31,Self Enquiry,1,Small Business,Male,Unmarried,0,1,Senior Manager
24,4,3,3,2,22183,1,2,17,Self Enquiry,1,Small Business,Male,Unmarried,0,0,Executive
33,4,3,3,3,23987,4,4,31,Company Invited,1,Salaried,Male,Married,0,1,Manager
33,2,3,2,0,32444,3,3,23,Company Invited,3,Salaried,Male,Single,0,1,AVP
33,4,4,3,1,24898,3,4,7,Self Enquiry,1,Salaried,Male,Divorced,0,0,Manager
35,3,5,5,2,23437,5,6,10,Self Enquiry,3,Salaried,Male,Unmarried,0,1,Manager
37,4,3,6,2,25330,1,5,18,Self Enquiry,3,Small Business,Female,Married,0,1,Manager
36,3,3,3,1,27515,1,4,33,Self Enquiry,2,Salaried,Fe Male,Unmarried,1,1,Senior Manager
32,3,3,4,2,24610,3,5,25,Self Enquiry,3,Salaried,Male,Married,0,1,Senior Manager
35,3,4,1,0,23095,3,3,11,Self Enquiry,1,Large Business,Male,Unmarried,0,0,Senior Manager
38,3,3,3,2,32422,1,2,17,Self Enquiry,1,Salaried,Female,Married,1,0,Senior Manager
35,3,4,1,1,23095,3,3,11,Self Enquiry,1,Large Business,Male,Unmarried,0,1,Senior Manager
55,2,4,4,1,31835,2,3,24,Self Enquiry,3,Salaried,Female,Single,0,0,AVP
29,3,4,3,1,21086,1,4,31,Self Enquiry,1,Small Business,Male,Married,1,0,Executive
50,3,3,7,2,25496,5,4,16,Self Enquiry,1,Large Business,Male,Unmarried,0,0,Senior Manager
31,3,4,2,2,22446,3,1,6,Company Invited,1,Salaried,Female,Unmarried,0,1,Senior Manager
31,2,3,1,0,18067,4,3,8,Self Enquiry,3,Salaried,Male,Married,0,1,Executive
46,3,5,3,1,23063,3,5,33,Company Invited,3,Small Business,Male,Married,0,0,Manager
36,2,3,1,1,18210,5,3,12,Self Enquiry,1,Salaried,Male,Married,0,1,Executive
